{'Contradiction': 0.7734806629834254, 'Entailment': 0.9608404966571156}
{'Contradiction': 0.7484662576687117, 'Entailment': 0.9615023474178404}
{'Contradiction': 0.7586206896551724, 'Entailment': 0.9601518026565465}
{'Contradiction': 0.7570621468926554, 'Entailment': 0.9590865842055185}
{'Contradiction': 0.7425149700598802, 'Entailment': 0.9594721960414703}
{'Contradiction': 0.7380952380952381, 'Entailment': 0.9584905660377359}
{'Contradiction': 0.7821782178217822, 'Entailment': 0.9571150097465887}
{'Contradiction': 0.7755102040816326, 'Entailment': 0.9573643410852714}
{'Contradiction': 0.7349397590361446, 'Entailment': 0.9585687382297552}
{'Contradiction': 0.725, 'Entailment': 0.9588014981273408}
{'Contradiction': 0.7169811320754716, 'Entailment': 0.9579045837231057}
{'Contradiction': 0.6533333333333333, 'Entailment': 0.9517625231910947}
{'Contradiction': 0.6496815286624203, 'Entailment': 0.9486461251167133}
{'Contradiction': 0.6216216216216216, 'Entailment': 0.9481481481481482}
{'Contradiction': 0.6122448979591837, 'Entailment': 0.9472710453283997}
{'Contradiction': 0.5223880597014925, 'Entailment': 0.9414990859232175}
{'Contradiction': 0.6073298429319371, 'Entailment': 0.9276759884281581}
{'Contradiction': 0.08, 'Entailment': 0.9184397163120568}
{'Contradiction': 0.0, 'Entailment': 0.9161518093556928}
{'Contradiction': 0.0, 'Entailment': 0.9161518093556928}
