{'Contradiction': 0.6551724137931034, 'Entailment': 0.9430740037950665}
{'Contradiction': 0.659217877094972, 'Entailment': 0.9418493803622497}
{'Contradiction': 0.659217877094972, 'Entailment': 0.9418493803622497}
{'Contradiction': 0.6630434782608695, 'Entailment': 0.9406130268199234}
{'Contradiction': 0.6702127659574468, 'Entailment': 0.9403846153846154}
{'Contradiction': 0.651685393258427, 'Entailment': 0.940952380952381}
{'Contradiction': 0.644808743169399, 'Entailment': 0.937799043062201}
{'Contradiction': 0.6451612903225806, 'Entailment': 0.9366602687140115}
{'Contradiction': 0.6413043478260869, 'Entailment': 0.9367816091954023}
{'Contradiction': 0.6492146596858639, 'Entailment': 0.9353905496624879}
{'Contradiction': 0.6187845303867403, 'Entailment': 0.9340974212034384}
{'Contradiction': 0.5569620253164557, 'Entailment': 0.9345794392523364}
{'Contradiction': 0.6111111111111112, 'Entailment': 0.933206106870229}
{'Contradiction': 0.5443037974683544, 'Entailment': 0.9327102803738317}
{'Contradiction': 0.6, 'Entailment': 0.9312977099236641}
{'Contradiction': 0.5324675324675324, 'Entailment': 0.9329608938547486}
{'Contradiction': 0.5555555555555556, 'Entailment': 0.9324577861163227}
{'Contradiction': 0.6010928961748634, 'Entailment': 0.9301435406698565}
{'Contradiction': 0.4966442953020134, 'Entailment': 0.9304911955514366}
{'Contradiction': 0.5948717948717949, 'Entailment': 0.9235237173281704}
{'Contradiction': 0.46357615894039733, 'Entailment': 0.924791086350975}
{'Contradiction': 0.34328358208955223, 'Entailment': 0.9195612431444241}
{'Contradiction': 0.34074074074074073, 'Entailment': 0.918572735590119}
{'Contradiction': 0.32061068702290074, 'Entailment': 0.918869644484959}
{'Contradiction': 0.2900763358778626, 'Entailment': 0.9152233363719234}
