{'Contradiction': 0.7464114832535885, 'Entailment': 0.7225130890052356}
{'Contradiction': 0.7135135135135136, 'Entailment': 0.7534883720930232}
{'Contradiction': 0.7135135135135136, 'Entailment': 0.7534883720930232}
{'Contradiction': 0.7135135135135136, 'Entailment': 0.7534883720930232}
{'Contradiction': 0.7135135135135136, 'Entailment': 0.7534883720930232}
{'Contradiction': 0.7157894736842105, 'Entailment': 0.7428571428571429}
{'Contradiction': 0.7157894736842105, 'Entailment': 0.7428571428571429}
{'Contradiction': 0.7157894736842105, 'Entailment': 0.7428571428571429}
{'Contradiction': 0.7476635514018691, 'Entailment': 0.7096774193548387}
{'Contradiction': 0.7032967032967034, 'Entailment': 0.7522935779816514}
{'Contradiction': 0.6994535519125683, 'Entailment': 0.7465437788018433}
{'Contradiction': 0.6892655367231638, 'Entailment': 0.7533632286995515}
{'Contradiction': 0.7281553398058253, 'Entailment': 0.711340206185567}
{'Contradiction': 0.7281553398058253, 'Entailment': 0.711340206185567}
{'Contradiction': 0.6888888888888889, 'Entailment': 0.7454545454545455}
{'Contradiction': 0.6951871657754011, 'Entailment': 0.7323943661971831}
{'Contradiction': 0.6813186813186813, 'Entailment': 0.7339449541284404}
{'Contradiction': 0.6910994764397905, 'Entailment': 0.7177033492822966}
{'Contradiction': 0.7203791469194313, 'Entailment': 0.6878306878306878}
{'Contradiction': 0.6740331491712708, 'Entailment': 0.730593607305936}
{'Contradiction': 0.696969696969697, 'Entailment': 0.7029702970297029}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.7272727272727273}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.7272727272727273}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.7188940092165899}
{'Contradiction': 0.6557377049180327, 'Entailment': 0.7096774193548387}
