{'Contradiction': 0.43283582089552236, 'Entailment': 0.7142857142857143}
{'Contradiction': 0.44285714285714284, 'Entailment': 0.7}
{'Contradiction': 0.4, 'Entailment': 0.7111111111111111}
{'Contradiction': 0.3969465648854962, 'Entailment': 0.7063197026022305}
{'Contradiction': 0.3969465648854962, 'Entailment': 0.7063197026022305}
{'Contradiction': 0.38461538461538464, 'Entailment': 0.7037037037037037}
{'Contradiction': 0.37209302325581395, 'Entailment': 0.7011070110701108}
{'Contradiction': 0.3464566929133858, 'Entailment': 0.6959706959706959}
{'Contradiction': 0.3387096774193548, 'Entailment': 0.7028985507246377}
{'Contradiction': 0.3387096774193548, 'Entailment': 0.7028985507246377}
{'Contradiction': 0.3387096774193548, 'Entailment': 0.7028985507246377}
{'Contradiction': 0.336, 'Entailment': 0.6981818181818182}
{'Contradiction': 0.3114754098360656, 'Entailment': 0.697841726618705}
{'Contradiction': 0.2975206611570248, 'Entailment': 0.6953405017921147}
{'Contradiction': 0.2975206611570248, 'Entailment': 0.6953405017921147}
{'Contradiction': 0.2975206611570248, 'Entailment': 0.6953405017921147}
{'Contradiction': 0.29508196721311475, 'Entailment': 0.6906474820143885}
{'Contradiction': 0.2857142857142857, 'Entailment': 0.697508896797153}
{'Contradiction': 0.2833333333333333, 'Entailment': 0.6928571428571428}
{'Contradiction': 0.2689075630252101, 'Entailment': 0.6903914590747331}
{'Contradiction': 0.019801980198019802, 'Entailment': 0.6688963210702341}
{'Contradiction': 0.019801980198019802, 'Entailment': 0.6688963210702341}
{'Contradiction': 0.019801980198019802, 'Entailment': 0.6688963210702341}
{'Contradiction': 0.019801980198019802, 'Entailment': 0.6688963210702341}
{'Contradiction': 0.0, 'Entailment': 0.6666666666666666}
