{'Contradiction': 0.7488584474885844, 'Entailment': 0.6961325966850829}
{'Contradiction': 0.7083333333333334, 'Entailment': 0.7307692307692307}
{'Contradiction': 0.6979166666666666, 'Entailment': 0.7211538461538461}
{'Contradiction': 0.7264150943396226, 'Entailment': 0.6914893617021277}
{'Contradiction': 0.6881720430107527, 'Entailment': 0.7289719626168224}
{'Contradiction': 0.7288888888888889, 'Entailment': 0.6514285714285715}
{'Contradiction': 0.7058823529411765, 'Entailment': 0.6368715083798883}
{'Contradiction': 0.711864406779661, 'Entailment': 0.5853658536585366}
{'Contradiction': 0.6467661691542289, 'Entailment': 0.6432160804020101}
{'Contradiction': 0.6956521739130435, 'Entailment': 0.5882352941176471}
{'Contradiction': 0.6507177033492823, 'Entailment': 0.6178010471204188}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.5966850828729282}
{'Contradiction': 0.5680473372781065, 'Entailment': 0.683982683982684}
{'Contradiction': 0.6754385964912281, 'Entailment': 0.5697674418604651}
{'Contradiction': 0.6808510638297872, 'Entailment': 0.5454545454545454}
{'Contradiction': 0.625, 'Entailment': 0.59375}
{'Contradiction': 0.5421686746987951, 'Entailment': 0.6752136752136753}
{'Contradiction': 0.704, 'Entailment': 0.5066666666666667}
{'Contradiction': 0.5119047619047619, 'Entailment': 0.646551724137931}
{'Contradiction': 0.646551724137931, 'Entailment': 0.5119047619047619}
{'Contradiction': 0.6311111111111111, 'Entailment': 0.5257142857142857}
{'Contradiction': 0.5502645502645502, 'Entailment': 0.5971563981042654}
{'Contradiction': 0.4939759036144578, 'Entailment': 0.6410256410256411}
{'Contradiction': 0.38028169014084506, 'Entailment': 0.6589147286821705}
{'Contradiction': 0.2753623188405797, 'Entailment': 0.6183206106870229}
