{'Contradiction': 0.7311827956989247, 'Entailment': 0.7663551401869159}
{'Contradiction': 0.7582938388625592, 'Entailment': 0.7301587301587301}
{'Contradiction': 0.717391304347826, 'Entailment': 0.7592592592592593}
{'Contradiction': 0.7165775401069518, 'Entailment': 0.7511737089201878}
{'Contradiction': 0.7071823204419889, 'Entailment': 0.7579908675799086}
{'Contradiction': 0.7333333333333333, 'Entailment': 0.7052631578947368}
{'Contradiction': 0.714975845410628, 'Entailment': 0.694300518134715}
{'Contradiction': 0.7203791469194313, 'Entailment': 0.6878306878306878}
{'Contradiction': 0.7203791469194313, 'Entailment': 0.6878306878306878}
{'Contradiction': 0.7109004739336493, 'Entailment': 0.6772486772486772}
{'Contradiction': 0.7047619047619048, 'Entailment': 0.6736842105263158}
{'Contradiction': 0.7102803738317757, 'Entailment': 0.6666666666666666}
{'Contradiction': 0.7102803738317757, 'Entailment': 0.6666666666666666}
{'Contradiction': 0.72, 'Entailment': 0.64}
{'Contradiction': 0.6981132075471698, 'Entailment': 0.6595744680851063}
{'Contradiction': 0.6919431279620853, 'Entailment': 0.656084656084656}
{'Contradiction': 0.6824644549763034, 'Entailment': 0.6455026455026455}
{'Contradiction': 0.7226890756302521, 'Entailment': 0.5925925925925926}
{'Contradiction': 0.70995670995671, 'Entailment': 0.6035502958579881}
{'Contradiction': 0.7148936170212766, 'Entailment': 0.593939393939394}
{'Contradiction': 0.684931506849315, 'Entailment': 0.6187845303867403}
{'Contradiction': 0.6759259259259259, 'Entailment': 0.6195652173913043}
{'Contradiction': 0.7033898305084746, 'Entailment': 0.573170731707317}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.5966850828729282}
{'Contradiction': 0.6887966804979253, 'Entailment': 0.5283018867924528}
