{'Contradiction': 0.632183908045977, 'Entailment': 0.7168141592920354}
{'Contradiction': 0.7046632124352331, 'Entailment': 0.7246376811594203}
{'Contradiction': 0.6883720930232559, 'Entailment': 0.6378378378378379}
{'Contradiction': 0.6344086021505376, 'Entailment': 0.6822429906542056}
{'Contradiction': 0.7053140096618358, 'Entailment': 0.6839378238341969}
{'Contradiction': 0.6571428571428571, 'Entailment': 0.6210526315789474}
{'Contradiction': 0.72, 'Entailment': 0.64}
{'Contradiction': 0.6910994764397905, 'Entailment': 0.7177033492822966}
{'Contradiction': 0.6836734693877551, 'Entailment': 0.696078431372549}
{'Contradiction': 0.7081339712918661, 'Entailment': 0.680628272251309}
{'Contradiction': 0.6772486772486772, 'Entailment': 0.7109004739336493}
{'Contradiction': 0.64, 'Entailment': 0.64}
{'Contradiction': 0.6918918918918919, 'Entailment': 0.7348837209302326}
{'Contradiction': 0.7058823529411765, 'Entailment': 0.7417840375586855}
{'Contradiction': 0.6889952153110048, 'Entailment': 0.6596858638743456}
{'Contradiction': 0.7064676616915423, 'Entailment': 0.7035175879396985}
{'Contradiction': 0.6593406593406593, 'Entailment': 0.7155963302752294}
{'Contradiction': 0.6859903381642513, 'Entailment': 0.6632124352331606}
{'Contradiction': 0.726457399103139, 'Entailment': 0.655367231638418}
{'Contradiction': 0.6798029556650246, 'Entailment': 0.6700507614213198}
{'Contradiction': 0.696969696969697, 'Entailment': 0.7029702970297029}
{'Contradiction': 0.6814159292035398, 'Entailment': 0.5862068965517241}
{'Contradiction': 0.6862745098039216, 'Entailment': 0.673469387755102}
{'Contradiction': 0.6763285024154589, 'Entailment': 0.6528497409326425}
{'Contradiction': 0.7087378640776699, 'Entailment': 0.6907216494845361}
