{'Contradiction': 0.40625, 'Entailment': 0.8869047619047619}
{'Contradiction': 0.36363636363636365, 'Entailment': 0.874251497005988}
{'Contradiction': 0.3855421686746988, 'Entailment': 0.8391167192429022}
{'Contradiction': 0.32727272727272727, 'Entailment': 0.8927536231884058}
{'Contradiction': 0.3333333333333333, 'Entailment': 0.8823529411764706}
{'Contradiction': 0.3225806451612903, 'Entailment': 0.8757396449704142}
{'Contradiction': 0.3333333333333333, 'Entailment': 0.8536585365853658}
{'Contradiction': 0.3235294117647059, 'Entailment': 0.8614457831325302}
{'Contradiction': 0.33766233766233766, 'Entailment': 0.8421052631578947}
{'Contradiction': 0.2857142857142857, 'Entailment': 0.8837209302325582}
{'Contradiction': 0.30303030303030304, 'Entailment': 0.8622754491017964}
{'Contradiction': 0.32, 'Entailment': 0.8430769230769231}
{'Contradiction': 0.3170731707317073, 'Entailment': 0.8238993710691824}
{'Contradiction': 0.3170731707317073, 'Entailment': 0.8238993710691824}
{'Contradiction': 0.26229508196721313, 'Entailment': 0.8672566371681416}
{'Contradiction': 0.3, 'Entailment': 0.825}
{'Contradiction': 0.2962962962962963, 'Entailment': 0.8213166144200627}
{'Contradiction': 0.22641509433962265, 'Entailment': 0.8818443804034583}
{'Contradiction': 0.2608695652173913, 'Entailment': 0.8459214501510574}
{'Contradiction': 0.20833333333333334, 'Entailment': 0.8920454545454546}
{'Contradiction': 0.1568627450980392, 'Entailment': 0.8767908309455588}
{'Contradiction': 0.1276595744680851, 'Entailment': 0.8838526912181303}
{'Contradiction': 0.125, 'Entailment': 0.8806818181818182}
{'Contradiction': 0.12244897959183673, 'Entailment': 0.8774928774928775}
{'Contradiction': 0.08888888888888889, 'Entailment': 0.8845070422535212}
