{'Contradiction': 0.5569620253164557, 'Entailment': 0.9345794392523364}
{'Contradiction': 0.5649717514124294, 'Entailment': 0.9267364414843007}
{'Contradiction': 0.5276073619631901, 'Entailment': 0.927699530516432}
{'Contradiction': 0.49032258064516127, 'Entailment': 0.9263746505125815}
{'Contradiction': 0.49032258064516127, 'Entailment': 0.9263746505125815}
{'Contradiction': 0.49032258064516127, 'Entailment': 0.9263746505125815}
{'Contradiction': 0.49032258064516127, 'Entailment': 0.9263746505125815}
{'Contradiction': 0.49032258064516127, 'Entailment': 0.9263746505125815}
{'Contradiction': 0.49032258064516127, 'Entailment': 0.9263746505125815}
{'Contradiction': 0.5207100591715976, 'Entailment': 0.9235127478753541}
{'Contradiction': 0.5207100591715976, 'Entailment': 0.9235127478753541}
{'Contradiction': 0.5759162303664922, 'Entailment': 0.9218900675024108}
{'Contradiction': 0.44594594594594594, 'Entailment': 0.924074074074074}
{'Contradiction': 0.44594594594594594, 'Entailment': 0.924074074074074}
{'Contradiction': 0.44594594594594594, 'Entailment': 0.924074074074074}
{'Contradiction': 0.44594594594594594, 'Entailment': 0.924074074074074}
{'Contradiction': 0.44594594594594594, 'Entailment': 0.924074074074074}
{'Contradiction': 0.44594594594594594, 'Entailment': 0.924074074074074}
{'Contradiction': 0.43537414965986393, 'Entailment': 0.9232192414431082}
{'Contradiction': 0.38235294117647056, 'Entailment': 0.9230769230769231}
{'Contradiction': 0.42953020134228187, 'Entailment': 0.9212233549582948}
{'Contradiction': 0.3973509933774834, 'Entailment': 0.9155060352831941}
{'Contradiction': 0.2677165354330709, 'Entailment': 0.9155313351498637}
{'Contradiction': 0.22580645161290322, 'Entailment': 0.9130434782608695}
{'Contradiction': 0.22580645161290322, 'Entailment': 0.9130434782608695}
