{'Contradiction': 0.9060773480662984, 'Entailment': 0.9837631327602674}
{'Contradiction': 0.91005291005291, 'Entailment': 0.983638113570741}
{'Contradiction': 0.9021739130434783, 'Entailment': 0.9827586206896551}
{'Contradiction': 0.8994708994708994, 'Entailment': 0.9817131857555341}
{'Contradiction': 0.8994708994708994, 'Entailment': 0.9817131857555341}
{'Contradiction': 0.8888888888888888, 'Entailment': 0.9797882579403272}
{'Contradiction': 0.8911917098445595, 'Entailment': 0.9797101449275363}
{'Contradiction': 0.8756756756756757, 'Entailment': 0.9779482262703739}
{'Contradiction': 0.8743169398907104, 'Entailment': 0.9779904306220095}
{'Contradiction': 0.8633879781420765, 'Entailment': 0.9760765550239234}
{'Contradiction': 0.8522727272727273, 'Entailment': 0.9752851711026616}
{'Contradiction': 0.8491620111731844, 'Entailment': 0.9742612011439467}
{'Contradiction': 0.8342857142857143, 'Entailment': 0.9724596391263058}
{'Contradiction': 0.8585365853658536, 'Entailment': 0.9716520039100685}
{'Contradiction': 0.8255813953488372, 'Entailment': 0.9715909090909091}
{'Contradiction': 0.8048780487804879, 'Entailment': 0.9699248120300752}
{'Contradiction': 0.835820895522388, 'Entailment': 0.9678675754625121}
{'Contradiction': 0.7672955974842768, 'Entailment': 0.9653882132834425}
{'Contradiction': 0.7865168539325843, 'Entailment': 0.9638095238095238}
{'Contradiction': 0.7821229050279329, 'Entailment': 0.9628217349857007}
{'Contradiction': 0.7845303867403315, 'Entailment': 0.9627507163323782}
{'Contradiction': 0.7821229050279329, 'Entailment': 0.9628217349857007}
{'Contradiction': 0.7897435897435897, 'Entailment': 0.9603097773475314}
{'Contradiction': 0.7897435897435897, 'Entailment': 0.9603097773475314}
{'Contradiction': 0.7352941176470589, 'Entailment': 0.947265625}
