{'Contradiction': 0.65625, 'Entailment': 0.9362934362934363}
{'Contradiction': 0.6424870466321243, 'Entailment': 0.9333333333333333}
{'Contradiction': 0.6568627450980392, 'Entailment': 0.931640625}
{'Contradiction': 0.6568627450980392, 'Entailment': 0.931640625}
{'Contradiction': 0.6568627450980392, 'Entailment': 0.931640625}
{'Contradiction': 0.6568627450980392, 'Entailment': 0.931640625}
{'Contradiction': 0.6435643564356436, 'Entailment': 0.9298245614035088}
{'Contradiction': 0.5131578947368421, 'Entailment': 0.9312267657992565}
{'Contradiction': 0.6407766990291263, 'Entailment': 0.9275929549902152}
{'Contradiction': 0.6320754716981132, 'Entailment': 0.9232283464566929}
{'Contradiction': 0.4868421052631579, 'Entailment': 0.9275092936802974}
{'Contradiction': 0.45517241379310347, 'Entailment': 0.9270544783010157}
{'Contradiction': 0.49032258064516127, 'Entailment': 0.9263746505125815}
{'Contradiction': 0.5061728395061729, 'Entailment': 0.924953095684803}
{'Contradiction': 0.4444444444444444, 'Entailment': 0.9261992619926199}
{'Contradiction': 0.6203703703703703, 'Entailment': 0.9189723320158103}
{'Contradiction': 0.6210045662100456, 'Entailment': 0.9177403369672944}
{'Contradiction': 0.38848920863309355, 'Entailment': 0.9219467401285583}
{'Contradiction': 0.38571428571428573, 'Entailment': 0.9209558823529411}
{'Contradiction': 0.6160714285714286, 'Entailment': 0.9143426294820717}
{'Contradiction': 0.38620689655172413, 'Entailment': 0.9178208679593721}
{'Contradiction': 0.611353711790393, 'Entailment': 0.9109109109109109}
{'Contradiction': 0.33783783783783783, 'Entailment': 0.9092592592592592}
{'Contradiction': 0.33557046979865773, 'Entailment': 0.9082483781278962}
{'Contradiction': 0.570281124497992, 'Entailment': 0.8907048008171604}
