{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.14022672461403493
{'task_description': 0, 'doc_description': 3, 'answer_description': 1}, 0.1371647402317767
{'task_description': 0, 'doc_description': 3, 'answer_description': 0}, 0.1370271172177462
{'task_description': 0, 'doc_description': 3, 'answer_description': 2}, 0.13685777809509517
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.136290255933265
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.13607043457515924
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.1350136625163114
{'task_description': 0, 'doc_description': 2, 'answer_description': 1}, 0.13438615709122068
{'task_description': 0, 'doc_description': 1, 'answer_description': 2}, 0.13325785710582366
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.13296922209311482
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.13294113649255754
{'task_description': 0, 'doc_description': 1, 'answer_description': 1}, 0.13156041132221316
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.13112759436298257
{'task_description': 0, 'doc_description': 4, 'answer_description': 1}, 0.13043635943654242
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.12899776870389568
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.12864612773235248
{'task_description': 0, 'doc_description': 4, 'answer_description': 0}, 0.1280461828139014
{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.126906730225243
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.12663114879794848
{'task_description': 1, 'doc_description': 3, 'answer_description': 1}, 0.12597754982740428
{'task_description': 1, 'doc_description': 3, 'answer_description': 0}, 0.12486682509244947
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.12298440654210019
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.12075690618752959
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.1207389522794637
{'task_description': 1, 'doc_description': 2, 'answer_description': 1}, 0.1197363876522148
