{'Contradiction': 0.6274509803921569, 'Entailment': 0.7246376811594203}
{'Contradiction': 0.6923076923076923, 'Entailment': 0.7197452229299363}
{'Contradiction': 0.6851851851851852, 'Entailment': 0.6304347826086957}
{'Contradiction': 0.6153846153846154, 'Entailment': 0.6788990825688074}
{'Contradiction': 0.6881028938906752, 'Entailment': 0.6643598615916955}
{'Contradiction': 0.7160493827160493, 'Entailment': 0.6666666666666666}
{'Contradiction': 0.6643598615916955, 'Entailment': 0.6881028938906752}
{'Contradiction': 0.6642857142857143, 'Entailment': 0.70625}
{'Contradiction': 0.6827586206896552, 'Entailment': 0.7032258064516129}
{'Contradiction': 0.6761565836298933, 'Entailment': 0.7147335423197492}
{'Contradiction': 0.6643598615916955, 'Entailment': 0.6881028938906752}
{'Contradiction': 0.7035830618892508, 'Entailment': 0.689419795221843}
{'Contradiction': 0.63003663003663, 'Entailment': 0.691131498470948}
{'Contradiction': 0.6730158730158731, 'Entailment': 0.6385964912280702}
{'Contradiction': 0.6891385767790262, 'Entailment': 0.7507507507507507}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.6460481099656358}
{'Contradiction': 0.6643356643356644, 'Entailment': 0.6942675159235668}
{'Contradiction': 0.7083333333333334, 'Entailment': 0.6287878787878788}
{'Contradiction': 0.676056338028169, 'Entailment': 0.7088607594936709}
{'Contradiction': 0.623574144486692, 'Entailment': 0.7062314540059347}
{'Contradiction': 0.6501766784452296, 'Entailment': 0.6876971608832808}
{'Contradiction': 0.6397058823529411, 'Entailment': 0.7012195121951219}
{'Contradiction': 0.6523297491039427, 'Entailment': 0.6978193146417445}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.7160493827160493}
{'Contradiction': 0.6015625, 'Entailment': 0.7034883720930233}
