{'Contradiction': 0.7092198581560284, 'Entailment': 0.7421383647798742}
{'Contradiction': 0.7331189710610932, 'Entailment': 0.71280276816609}
{'Contradiction': 0.7218543046357616, 'Entailment': 0.7181208053691275}
{'Contradiction': 0.7254901960784313, 'Entailment': 0.7142857142857143}
{'Contradiction': 0.732484076433121, 'Entailment': 0.7062937062937062}
{'Contradiction': 0.704225352112676, 'Entailment': 0.7341772151898734}
{'Contradiction': 0.7094594594594594, 'Entailment': 0.7171052631578947}
{'Contradiction': 0.6861313868613139, 'Entailment': 0.7361963190184049}
{'Contradiction': 0.7100977198697068, 'Entailment': 0.6962457337883959}
{'Contradiction': 0.6563706563706564, 'Entailment': 0.7390029325513197}
{'Contradiction': 0.6738351254480287, 'Entailment': 0.7165109034267912}
{'Contradiction': 0.6617100371747212, 'Entailment': 0.7250755287009063}
{'Contradiction': 0.6824324324324325, 'Entailment': 0.6907894736842105}
{'Contradiction': 0.6463878326996197, 'Entailment': 0.7240356083086054}
{'Contradiction': 0.6545454545454545, 'Entailment': 0.7076923076923077}
{'Contradiction': 0.6643598615916955, 'Entailment': 0.6881028938906752}
{'Contradiction': 0.635036496350365, 'Entailment': 0.6932515337423313}
{'Contradiction': 0.6530612244897959, 'Entailment': 0.6666666666666666}
{'Contradiction': 0.6530612244897959, 'Entailment': 0.6666666666666666}
{'Contradiction': 0.625, 'Entailment': 0.6890243902439024}
{'Contradiction': 0.6053639846743295, 'Entailment': 0.696165191740413}
{'Contradiction': 0.5984848484848485, 'Entailment': 0.6845238095238095}
{'Contradiction': 0.5984848484848485, 'Entailment': 0.6845238095238095}
{'Contradiction': 0.6120996441281139, 'Entailment': 0.658307210031348}
{'Contradiction': 0.5333333333333333, 'Entailment': 0.6888888888888889}
