{'task_description': 3, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.7527687378591791
{'task_description': 2, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 0}, 0.7487689679429204
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.744993624840621
{'task_description': 4, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.7444825772188681
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.7444825772188681
{'task_description': 5, 'ctr_description': 7, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 1}, 0.7234443746071653
{'task_description': 4, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.7199719971997199
{'task_description': 5, 'ctr_description': 7, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 6}, 0.7181964573268921
{'task_description': 4, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 3}, 0.7137907659862921
{'task_description': 4, 'ctr_description': 7, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 4}, 0.7046381817726715
{'task_description': 5, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 1}, 0.6975501562657526
{'task_description': 4, 'ctr_description': 5, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 6}, 0.6884735202492211
{'task_description': 4, 'ctr_description': 5, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 6}, 0.6884735202492211
{'task_description': 4, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 3}, 0.6843608306821314
{'task_description': 4, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 4}, 0.6807782929239188
{'task_description': 4, 'ctr_description': 7, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 3}, 0.677938808373591
{'task_description': 5, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 3}, 0.677386833350136
{'task_description': 4, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 5}, 0.6743405395926751
{'task_description': 6, 'ctr_description': 6, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 5}, 0.672040162466258
{'task_description': 6, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 3}, 0.666999666999667
{'task_description': 4, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 6}, 0.6631049654305469
{'task_description': 4, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 4}, 0.6596937243519168
{'task_description': 4, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 3}, 0.6587715776796468
{'task_description': 4, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 5}, 0.6494391025641025
{'task_description': 5, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 4}, 0.6449201070240804
