{'task_description': 1, 'doc_description': 0, 'answer_description': 4}, 0.2138841303701512
{'task_description': 0, 'doc_description': 0, 'answer_description': 4}, 0.21379331793710876
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.2094657038520566
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.20941584271578217
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.20695107810286362
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.20634354124813314
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.20631620527275488
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20611407875494936
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.20583580626610637
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.20569657790117699
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20533815050631612
{'task_description': 1, 'doc_description': 0, 'answer_description': 2}, 0.2047585761813651
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.2041751156294934
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.20316620550310033
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20270931652740837
{'task_description': 0, 'doc_description': 0, 'answer_description': 3}, 0.20207989107897958
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.20166758436528903
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20163291494020275
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.20070110956495313
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.1996041005830303
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.19900510377749803
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.1978390093919392
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.19779265225570683
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.19375030746162153
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.19277372475154864
