{'Contradiction': 0.7117794486215538, 'Entailment': 0.42786069651741293}
{'Contradiction': 0.7215496368038741, 'Entailment': 0.3850267379679144}
{'Contradiction': 0.684931506849315, 'Entailment': 0.14814814814814814}
{'Contradiction': 0.6958637469586375, 'Entailment': 0.3386243386243386}
{'Contradiction': 0.6915887850467289, 'Entailment': 0.23255813953488372}
{'Contradiction': 0.6867749419953596, 'Entailment': 0.20118343195266272}
{'Contradiction': 0.7036144578313253, 'Entailment': 0.33513513513513515}
{'Contradiction': 0.6932084309133489, 'Entailment': 0.24277456647398843}
{'Contradiction': 0.7204030226700252, 'Entailment': 0.45320197044334976}
{'Contradiction': 0.7061611374407583, 'Entailment': 0.30337078651685395}
{'Contradiction': 0.7002398081534772, 'Entailment': 0.31693989071038253}
{'Contradiction': 0.7, 'Entailment': 0.3}
{'Contradiction': 0.7, 'Entailment': 0.3}
{'Contradiction': 0.7180851063829787, 'Entailment': 0.5267857142857143}
{'Contradiction': 0.6872037914691943, 'Entailment': 0.25842696629213485}
{'Contradiction': 0.7038834951456311, 'Entailment': 0.35106382978723405}
{'Contradiction': 0.6904761904761905, 'Entailment': 0.2777777777777778}
{'Contradiction': 0.7115384615384616, 'Entailment': 0.34782608695652173}
{'Contradiction': 0.7032418952618454, 'Entailment': 0.4020100502512563}
{'Contradiction': 0.6978922716627635, 'Entailment': 0.2543352601156069}
{'Contradiction': 0.7106598984771574, 'Entailment': 0.44660194174757284}
{'Contradiction': 0.7011764705882353, 'Entailment': 0.2742857142857143}
{'Contradiction': 0.6901408450704225, 'Entailment': 0.2413793103448276}
{'Contradiction': 0.7201946472019465, 'Entailment': 0.3915343915343915}
{'Contradiction': 0.6886792452830188, 'Entailment': 0.25}
