{'Contradiction': 0.7071823204419889, 'Entailment': 0.7579908675799086}
{'Contradiction': 0.72, 'Entailment': 0.72}
{'Contradiction': 0.6781609195402298, 'Entailment': 0.7522123893805309}
{'Contradiction': 0.7323943661971831, 'Entailment': 0.6951871657754011}
{'Contradiction': 0.7348837209302326, 'Entailment': 0.6918918918918919}
{'Contradiction': 0.7037037037037037, 'Entailment': 0.6521739130434783}
{'Contradiction': 0.7037037037037037, 'Entailment': 0.6521739130434783}
{'Contradiction': 0.6976744186046512, 'Entailment': 0.6486486486486487}
{'Contradiction': 0.6464646464646465, 'Entailment': 0.6534653465346535}
{'Contradiction': 0.6601941747572816, 'Entailment': 0.6391752577319587}
{'Contradiction': 0.6571428571428571, 'Entailment': 0.6210526315789474}
{'Contradiction': 0.7058823529411765, 'Entailment': 0.5679012345679012}
{'Contradiction': 0.6952789699570815, 'Entailment': 0.5748502994011976}
{'Contradiction': 0.6755555555555556, 'Entailment': 0.5828571428571429}
{'Contradiction': 0.6755555555555556, 'Entailment': 0.5828571428571429}
{'Contradiction': 0.6784140969162996, 'Entailment': 0.5780346820809249}
{'Contradiction': 0.6696428571428571, 'Entailment': 0.5795454545454546}
{'Contradiction': 0.6970954356846473, 'Entailment': 0.5408805031446541}
{'Contradiction': 0.6885245901639344, 'Entailment': 0.5128205128205128}
{'Contradiction': 0.7181467181467182, 'Entailment': 0.48226950354609927}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.5301204819277109}
{'Contradiction': 0.658008658008658, 'Entailment': 0.5325443786982249}
{'Contradiction': 0.696, 'Entailment': 0.49333333333333335}
{'Contradiction': 0.6882591093117408, 'Entailment': 0.49673202614379086}
{'Contradiction': 0.5257142857142857, 'Entailment': 0.6311111111111111}
