{'Contradiction': 0.7336683417085427, 'Entailment': 0.736318407960199}
{'Contradiction': 0.7393364928909952, 'Entailment': 0.708994708994709}
{'Contradiction': 0.7254901960784313, 'Entailment': 0.7142857142857143}
{'Contradiction': 0.7307692307692307, 'Entailment': 0.7083333333333334}
{'Contradiction': 0.7246376811594203, 'Entailment': 0.7046632124352331}
{'Contradiction': 0.7161572052401747, 'Entailment': 0.6198830409356725}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.631578947368421}
{'Contradiction': 0.7012987012987013, 'Entailment': 0.591715976331361}
{'Contradiction': 0.6635071090047393, 'Entailment': 0.6243386243386243}
{'Contradiction': 0.6787330316742082, 'Entailment': 0.6033519553072626}
{'Contradiction': 0.7058823529411765, 'Entailment': 0.5679012345679012}
{'Contradiction': 0.7206477732793523, 'Entailment': 0.5490196078431373}
{'Contradiction': 0.6754385964912281, 'Entailment': 0.5697674418604651}
{'Contradiction': 0.6970954356846473, 'Entailment': 0.5408805031446541}
{'Contradiction': 0.6513761467889908, 'Entailment': 0.5824175824175825}
{'Contradiction': 0.7215686274509804, 'Entailment': 0.5103448275862069}
{'Contradiction': 0.631578947368421, 'Entailment': 0.5968586387434555}
{'Contradiction': 0.6486486486486487, 'Entailment': 0.5617977528089888}
{'Contradiction': 0.6751054852320675, 'Entailment': 0.5276073619631901}
{'Contradiction': 0.675, 'Entailment': 0.5125}
{'Contradiction': 0.6581196581196581, 'Entailment': 0.5180722891566265}
{'Contradiction': 0.7027027027027027, 'Entailment': 0.45390070921985815}
{'Contradiction': 0.6747967479674797, 'Entailment': 0.4805194805194805}
{'Contradiction': 0.6720647773279352, 'Entailment': 0.47058823529411764}
{'Contradiction': 0.6992481203007519, 'Entailment': 0.40298507462686567}
