{'Contradiction': 0.6966292134831461, 'Entailment': 0.7567567567567568}
{'Contradiction': 0.6813186813186813, 'Entailment': 0.7339449541284404}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.7433628318584071}
{'Contradiction': 0.7064676616915423, 'Entailment': 0.7035175879396985}
{'Contradiction': 0.7272727272727273, 'Entailment': 0.6666666666666666}
{'Contradiction': 0.6464646464646465, 'Entailment': 0.6534653465346535}
{'Contradiction': 0.6217616580310881, 'Entailment': 0.6473429951690821}
{'Contradiction': 0.672645739910314, 'Entailment': 0.5875706214689266}
{'Contradiction': 0.63, 'Entailment': 0.63}
{'Contradiction': 0.6336633663366337, 'Entailment': 0.6262626262626263}
{'Contradiction': 0.55, 'Entailment': 0.7}
{'Contradiction': 0.6606334841628959, 'Entailment': 0.5810055865921788}
{'Contradiction': 0.6082474226804123, 'Entailment': 0.6310679611650486}
{'Contradiction': 0.6346153846153846, 'Entailment': 0.6041666666666666}
{'Contradiction': 0.535031847133758, 'Entailment': 0.6995884773662552}
{'Contradiction': 0.5614035087719298, 'Entailment': 0.6724890829694323}
{'Contradiction': 0.5824175824175825, 'Entailment': 0.6513761467889908}
{'Contradiction': 0.6887966804979253, 'Entailment': 0.5283018867924528}
{'Contradiction': 0.680672268907563, 'Entailment': 0.5308641975308642}
{'Contradiction': 0.5684210526315789, 'Entailment': 0.6095238095238096}
{'Contradiction': 0.6877470355731226, 'Entailment': 0.46258503401360546}
{'Contradiction': 0.6440677966101694, 'Entailment': 0.4878048780487805}
{'Contradiction': 0.3546099290780142, 'Entailment': 0.6486486486486487}
{'Contradiction': 0.6592592592592592, 'Entailment': 0.2923076923076923}
{'Contradiction': 0.30656934306569344, 'Entailment': 0.6387832699619772}
