{'Contradiction': 0.6709677419354839, 'Entailment': 0.9524697110904008}
{'Contradiction': 0.6394557823129252, 'Entailment': 0.9509713228492137}
{'Contradiction': 0.6197183098591549, 'Entailment': 0.9502762430939227}
{'Contradiction': 0.6496815286624203, 'Entailment': 0.9486461251167133}
{'Contradiction': 0.6496815286624203, 'Entailment': 0.9486461251167133}
{'Contradiction': 0.6405228758169934, 'Entailment': 0.9488372093023256}
{'Contradiction': 0.6451612903225806, 'Entailment': 0.9487418452935694}
{'Contradiction': 0.6111111111111112, 'Entailment': 0.948339483394834}
{'Contradiction': 0.5850340136054422, 'Entailment': 0.9435707678075855}
{'Contradiction': 0.5263157894736842, 'Entailment': 0.9424657534246575}
{'Contradiction': 0.49612403100775193, 'Entailment': 0.9408553230209281}
{'Contradiction': 0.6206896551724138, 'Entailment': 0.937381404174573}
{'Contradiction': 0.524822695035461, 'Entailment': 0.9383624655013799}
{'Contradiction': 0.5988023952095808, 'Entailment': 0.9368520263901979}
{'Contradiction': 0.5732484076433121, 'Entailment': 0.9374416433239963}
{'Contradiction': 0.6127167630057804, 'Entailment': 0.9364928909952607}
{'Contradiction': 0.5714285714285714, 'Entailment': 0.9353327085285849}
{'Contradiction': 0.4580152671755725, 'Entailment': 0.935278030993619}
{'Contradiction': 0.45454545454545453, 'Entailment': 0.9343065693430657}
{'Contradiction': 0.49295774647887325, 'Entailment': 0.9337016574585635}
{'Contradiction': 0.46808510638297873, 'Entailment': 0.9310027598896045}
{'Contradiction': 0.3559322033898305, 'Entailment': 0.9315315315315316}
{'Contradiction': 0.3770491803278688, 'Entailment': 0.9312839059674503}
{'Contradiction': 0.3779527559055118, 'Entailment': 0.9282470481380564}
{'Contradiction': 0.31666666666666665, 'Entailment': 0.9259927797833934}
