{'Contradiction': 0.7253886010362695, 'Entailment': 0.7439613526570048}
{'Contradiction': 0.7378640776699029, 'Entailment': 0.7216494845360825}
{'Contradiction': 0.7378640776699029, 'Entailment': 0.7216494845360825}
{'Contradiction': 0.7157894736842105, 'Entailment': 0.7428571428571429}
{'Contradiction': 0.6966292134831461, 'Entailment': 0.7567567567567568}
{'Contradiction': 0.6903553299492385, 'Entailment': 0.6995073891625616}
{'Contradiction': 0.6871794871794872, 'Entailment': 0.7024390243902439}
{'Contradiction': 0.7288888888888889, 'Entailment': 0.6514285714285715}
{'Contradiction': 0.696078431372549, 'Entailment': 0.6836734693877551}
{'Contradiction': 0.6736842105263158, 'Entailment': 0.7047619047619048}
{'Contradiction': 0.7075471698113207, 'Entailment': 0.6702127659574468}
{'Contradiction': 0.7129629629629629, 'Entailment': 0.6630434782608695}
{'Contradiction': 0.6802030456852792, 'Entailment': 0.6896551724137931}
{'Contradiction': 0.6956521739130435, 'Entailment': 0.6735751295336787}
{'Contradiction': 0.6829268292682927, 'Entailment': 0.6666666666666666}
{'Contradiction': 0.6889952153110048, 'Entailment': 0.6596858638743456}
{'Contradiction': 0.6948356807511737, 'Entailment': 0.6524064171122995}
{'Contradiction': 0.7058823529411765, 'Entailment': 0.6368715083798883}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.6732673267326733}
{'Contradiction': 0.7027027027027027, 'Entailment': 0.6292134831460674}
{'Contradiction': 0.6731707317073171, 'Entailment': 0.6564102564102564}
{'Contradiction': 0.6883720930232559, 'Entailment': 0.6378378378378379}
{'Contradiction': 0.6464646464646465, 'Entailment': 0.6534653465346535}
{'Contradiction': 0.6698113207547169, 'Entailment': 0.6276595744680851}
{'Contradiction': 0.6363636363636364, 'Entailment': 0.6435643564356436}
