{'Contradiction': 0.7767584097859327, 'Entailment': 0.7326007326007326}
{'Contradiction': 0.7710144927536232, 'Entailment': 0.6901960784313725}
{'Contradiction': 0.7653631284916201, 'Entailment': 0.6528925619834711}
{'Contradiction': 0.7465940054495913, 'Entailment': 0.6008583690987125}
{'Contradiction': 0.7486631016042781, 'Entailment': 0.584070796460177}
{'Contradiction': 0.7486910994764397, 'Entailment': 0.5596330275229358}
{'Contradiction': 0.7384615384615385, 'Entailment': 0.5142857142857142}
{'Contradiction': 0.7352185089974294, 'Entailment': 0.5118483412322274}
{'Contradiction': 0.7272727272727273, 'Entailment': 0.5116279069767442}
{'Contradiction': 0.732824427480916, 'Entailment': 0.4927536231884058}
{'Contradiction': 0.7212276214833759, 'Entailment': 0.4784688995215311}
{'Contradiction': 0.7268170426065163, 'Entailment': 0.4577114427860697}
{'Contradiction': 0.7218045112781954, 'Entailment': 0.44776119402985076}
{'Contradiction': 0.7227722772277227, 'Entailment': 0.42857142857142855}
{'Contradiction': 0.7286063569682152, 'Entailment': 0.418848167539267}
{'Contradiction': 0.7073170731707317, 'Entailment': 0.3684210526315789}
{'Contradiction': 0.7073170731707317, 'Entailment': 0.3684210526315789}
{'Contradiction': 0.7115384615384616, 'Entailment': 0.34782608695652173}
{'Contradiction': 0.7129186602870813, 'Entailment': 0.34065934065934067}
{'Contradiction': 0.6971153846153846, 'Entailment': 0.31521739130434784}
{'Contradiction': 0.6968973747016707, 'Entailment': 0.2983425414364641}
{'Contradiction': 0.6968973747016707, 'Entailment': 0.2983425414364641}
{'Contradiction': 0.6964705882352941, 'Entailment': 0.26285714285714284}
{'Contradiction': 0.6880733944954128, 'Entailment': 0.17073170731707318}
{'Contradiction': 0.684931506849315, 'Entailment': 0.14814814814814814}
