{'Contradiction': 0.7058823529411765, 'Entailment': 0.7417840375586855}
{'Contradiction': 0.6918918918918919, 'Entailment': 0.7348837209302326}
{'Contradiction': 0.6918918918918919, 'Entailment': 0.7348837209302326}
{'Contradiction': 0.6628571428571428, 'Entailment': 0.7377777777777778}
{'Contradiction': 0.6739130434782609, 'Entailment': 0.7222222222222222}
{'Contradiction': 0.6737967914438503, 'Entailment': 0.7136150234741784}
{'Contradiction': 0.6737967914438503, 'Entailment': 0.7136150234741784}
{'Contradiction': 0.6341463414634146, 'Entailment': 0.7457627118644068}
{'Contradiction': 0.6702127659574468, 'Entailment': 0.7075471698113207}
{'Contradiction': 0.6477272727272727, 'Entailment': 0.7232142857142857}
{'Contradiction': 0.6735751295336787, 'Entailment': 0.6956521739130435}
{'Contradiction': 0.6735751295336787, 'Entailment': 0.6956521739130435}
{'Contradiction': 0.6701570680628273, 'Entailment': 0.6985645933014354}
{'Contradiction': 0.6309523809523809, 'Entailment': 0.7327586206896551}
{'Contradiction': 0.6309523809523809, 'Entailment': 0.7327586206896551}
{'Contradiction': 0.6107784431137725, 'Entailment': 0.721030042918455}
{'Contradiction': 0.6107784431137725, 'Entailment': 0.721030042918455}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.6530612244897959}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.6530612244897959}
{'Contradiction': 0.5838509316770186, 'Entailment': 0.7196652719665272}
{'Contradiction': 0.336, 'Entailment': 0.6981818181818182}
{'Contradiction': 0.26666666666666666, 'Entailment': 0.6857142857142857}
{'Contradiction': 0.25210084033613445, 'Entailment': 0.6832740213523132}
{'Contradiction': 0.21052631578947367, 'Entailment': 0.6853146853146853}
{'Contradiction': 0.21052631578947367, 'Entailment': 0.6853146853146853}
