{'Contradiction': 0.6153846153846154, 'Entailment': 0.7186147186147186}
{'Contradiction': 0.6088709677419355, 'Entailment': 0.7244318181818182}
{'Contradiction': 0.6159844054580896, 'Entailment': 0.7132459970887919}
{'Contradiction': 0.6159844054580896, 'Entailment': 0.7132459970887919}
{'Contradiction': 0.6329113924050633, 'Entailment': 0.6862442040185471}
{'Contradiction': 0.5959183673469388, 'Entailment': 0.7211267605633803}
{'Contradiction': 0.6085271317829457, 'Entailment': 0.7046783625730995}
{'Contradiction': 0.5786163522012578, 'Entailment': 0.7219917012448133}
{'Contradiction': 0.5762004175365344, 'Entailment': 0.7184466019417476}
{'Contradiction': 0.5732217573221757, 'Entailment': 0.7174515235457064}
{'Contradiction': 0.5788423153692615, 'Entailment': 0.698140200286123}
{'Contradiction': 0.5685071574642127, 'Entailment': 0.7032348804500703}
{'Contradiction': 0.5517241379310345, 'Entailment': 0.717391304347826}
{'Contradiction': 0.5501066098081023, 'Entailment': 0.7113543091655267}
{'Contradiction': 0.5477707006369427, 'Entailment': 0.7078189300411523}
{'Contradiction': 0.5466101694915254, 'Entailment': 0.7060439560439561}
{'Contradiction': 0.5391304347826087, 'Entailment': 0.7135135135135136}
{'Contradiction': 0.5379609544468547, 'Entailment': 0.7117726657645467}
{'Contradiction': 0.5488565488565489, 'Entailment': 0.6981919332406119}
{'Contradiction': 0.5327510917030568, 'Entailment': 0.7115902964959568}
{'Contradiction': 0.5274725274725275, 'Entailment': 0.7114093959731543}
{'Contradiction': 0.4818181818181818, 'Entailment': 0.7}
{'Contradiction': 0.45901639344262296, 'Entailment': 0.7011642949547219}
{'Contradiction': 0.4320388349514563, 'Entailment': 0.7030456852791879}
{'Contradiction': 0.38613861386138615, 'Entailment': 0.6884422110552764}
