{'Contradiction': 0.696551724137931, 'Entailment': 0.7161290322580646}
{'Contradiction': 0.6923076923076923, 'Entailment': 0.7197452229299363}
{'Contradiction': 0.7019867549668874, 'Entailment': 0.697986577181208}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.7217125382262997}
{'Contradiction': 0.6713780918727915, 'Entailment': 0.7066246056782335}
{'Contradiction': 0.6713780918727915, 'Entailment': 0.7066246056782335}
{'Contradiction': 0.6666666666666666, 'Entailment': 0.7044025157232704}
{'Contradiction': 0.6494464944649446, 'Entailment': 0.7112462006079028}
{'Contradiction': 0.6643356643356644, 'Entailment': 0.6942675159235668}
{'Contradiction': 0.6444444444444445, 'Entailment': 0.7090909090909091}
{'Contradiction': 0.6303501945525292, 'Entailment': 0.7230320699708455}
{'Contradiction': 0.6472727272727272, 'Entailment': 0.7015384615384616}
{'Contradiction': 0.6264150943396226, 'Entailment': 0.7044776119402985}
{'Contradiction': 0.6039215686274509, 'Entailment': 0.7072463768115942}
{'Contradiction': 0.6039215686274509, 'Entailment': 0.7072463768115942}
{'Contradiction': 0.6039215686274509, 'Entailment': 0.7072463768115942}
{'Contradiction': 0.5910931174089069, 'Entailment': 0.7138810198300283}
{'Contradiction': 0.5774058577405857, 'Entailment': 0.7202216066481995}
{'Contradiction': 0.5726141078838174, 'Entailment': 0.713091922005571}
{'Contradiction': 0.5806451612903226, 'Entailment': 0.7045454545454546}
{'Contradiction': 0.5606694560669456, 'Entailment': 0.7091412742382271}
{'Contradiction': 0.5350877192982456, 'Entailment': 0.7150537634408602}
{'Contradiction': 0.49777777777777776, 'Entailment': 0.6986666666666667}
{'Contradiction': 0.49777777777777776, 'Entailment': 0.6986666666666667}
{'Contradiction': 0.4694835680751174, 'Entailment': 0.7080103359173127}
