{'Contradiction': 0.6172839506172839, 'Entailment': 0.9418386491557224}
{'Contradiction': 0.6, 'Entailment': 0.9400749063670412}
{'Contradiction': 0.6049382716049383, 'Entailment': 0.9399624765478424}
{'Contradiction': 0.5911949685534591, 'Entailment': 0.9391955098222639}
{'Contradiction': 0.5859872611464968, 'Entailment': 0.9393090569561158}
{'Contradiction': 0.5822784810126582, 'Entailment': 0.9383177570093458}
{'Contradiction': 0.5875, 'Entailment': 0.9382022471910112}
{'Contradiction': 0.5875, 'Entailment': 0.9382022471910112}
{'Contradiction': 0.575, 'Entailment': 0.9363295880149812}
{'Contradiction': 0.5748502994011976, 'Entailment': 0.9330819981149858}
{'Contradiction': 0.5714285714285714, 'Entailment': 0.9320754716981132}
{'Contradiction': 0.5662650602409639, 'Entailment': 0.9322033898305084}
{'Contradiction': 0.5276073619631901, 'Entailment': 0.927699530516432}
{'Contradiction': 0.5149700598802395, 'Entailment': 0.9236569274269557}
{'Contradiction': 0.5317919075144508, 'Entailment': 0.9232227488151659}
{'Contradiction': 0.48249027237354086, 'Entailment': 0.86302780638517}
{'Contradiction': 0.47876447876447875, 'Entailment': 0.8606811145510835}
{'Contradiction': 0.4555984555984556, 'Entailment': 0.8544891640866873}
{'Contradiction': 0.45038167938931295, 'Entailment': 0.8509316770186336}
{'Contradiction': 0.4230769230769231, 'Entailment': 0.8450413223140496}
{'Contradiction': 0.4280442804428044, 'Entailment': 0.8380355276907001}
{'Contradiction': 0.4316546762589928, 'Entailment': 0.8336842105263158}
{'Contradiction': 0.4169611307420495, 'Entailment': 0.8253968253968254}
{'Contradiction': 0.40425531914893614, 'Entailment': 0.8224101479915433}
{'Contradiction': 0.3959731543624161, 'Entailment': 0.8064516129032258}
