{'Contradiction': 0.6395563770794824, 'Entailment': 0.7040971168437026}
{'Contradiction': 0.6208251473477406, 'Entailment': 0.7206946454413893}
{'Contradiction': 0.6168958742632613, 'Entailment': 0.7178002894356006}
{'Contradiction': 0.6153846153846154, 'Entailment': 0.7186147186147186}
{'Contradiction': 0.6088709677419355, 'Entailment': 0.7244318181818182}
{'Contradiction': 0.6159844054580896, 'Entailment': 0.7132459970887919}
{'Contradiction': 0.6159844054580896, 'Entailment': 0.7132459970887919}
{'Contradiction': 0.6159844054580896, 'Entailment': 0.7132459970887919}
{'Contradiction': 0.6159844054580896, 'Entailment': 0.7132459970887919}
{'Contradiction': 0.6159844054580896, 'Entailment': 0.7132459970887919}
{'Contradiction': 0.647985989492119, 'Entailment': 0.6804451510333863}
{'Contradiction': 0.6078431372549019, 'Entailment': 0.7101449275362319}
{'Contradiction': 0.5975609756097561, 'Entailment': 0.7203389830508474}
{'Contradiction': 0.6484641638225256, 'Entailment': 0.6644951140065146}
{'Contradiction': 0.5976095617529881, 'Entailment': 0.7106017191977078}
{'Contradiction': 0.6283662477558348, 'Entailment': 0.6780715396578538}
{'Contradiction': 0.5714285714285714, 'Entailment': 0.6896551724137931}
{'Contradiction': 0.5714285714285714, 'Entailment': 0.6896551724137931}
{'Contradiction': 0.5403050108932462, 'Entailment': 0.7152496626180836}
{'Contradiction': 0.5201793721973094, 'Entailment': 0.7161803713527851}
{'Contradiction': 0.5201793721973094, 'Entailment': 0.7161803713527851}
{'Contradiction': 0.5263157894736842, 'Entailment': 0.6896551724137931}
{'Contradiction': 0.5011185682326622, 'Entailment': 0.703851261620186}
{'Contradiction': 0.47685185185185186, 'Entailment': 0.7057291666666666}
{'Contradiction': 0.47533632286995514, 'Entailment': 0.6896551724137931}
