{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.17047554168204385
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16341245555956638
{'task_description': 1, 'doc_description': 2, 'answer_description': 2}, 0.16133308756145062
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16127978889351213
{'task_description': 1, 'doc_description': 3, 'answer_description': 1}, 0.15633345801601004
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.15471474232915064
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.15273623139289758
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.15061791233759633
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.15047725662059006
{'task_description': 3, 'doc_description': 2, 'answer_description': 0}, 0.1478490120572322
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.14671074436855633
{'task_description': 3, 'doc_description': 2, 'answer_description': 0}, 0.14598732907487802
{'task_description': 3, 'doc_description': 2, 'answer_description': 0}, 0.14587569065599584
{'task_description': 3, 'doc_description': 2, 'answer_description': 0}, 0.14480285824860153
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.14322698634098965
{'task_description': 4, 'doc_description': 2, 'answer_description': 0}, 0.1404828135673741
{'task_description': 4, 'doc_description': 2, 'answer_description': 0}, 0.1381634011338927
{'task_description': 4, 'doc_description': 2, 'answer_description': 0}, 0.13698612990554346
{'task_description': 5, 'doc_description': 2, 'answer_description': 0}, 0.13632618310612818
{'task_description': 4, 'doc_description': 2, 'answer_description': 0}, 0.1353684610885764
{'task_description': 5, 'doc_description': 2, 'answer_description': 0}, 0.1344038945511338
{'task_description': 3, 'doc_description': 2, 'answer_description': 3}, 0.13424576916600214
{'task_description': 5, 'doc_description': 2, 'answer_description': 0}, 0.13218145541339654
{'task_description': 5, 'doc_description': 2, 'answer_description': 3}, 0.129899950409585
{'task_description': 0, 'doc_description': 4, 'answer_description': 3}, 0.12060202672172216
